"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Weston School District","900183430","2011-2012","Grade 11","Percent","Suspensions","-9999"
"Weston School District","900183430","2011-2012","Grade 12","Percent","Suspensions","3.1"
"Weston School District","900183430","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Weston School District","900183430","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Weston School District","900183430","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Weston School District","900183430","2012-2013","Grade 3","Percent","Suspensions","-6666"
"Weston School District","900183430","2012-2013","Grade 4","Percent","Suspensions","-6666"
"Weston School District","900183430","2012-2013","Grade 5","Percent","Suspensions","-6666"
"Weston School District","900183430","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Weston School District","900183430","2012-2013","Grade 7","Percent","Suspensions","5.7"
"Weston School District","900183430","2012-2013","Grade 8","Percent","Suspensions","7.8"
"Weston School District","900183430","2012-2013","Grade 9","Percent","Suspensions","-9999"
"Weston School District","900183430","2012-2013","Grade 10","Percent","Suspensions","-9999"
"Weston School District","900183430","2012-2013","Grade 11","Percent","Suspensions","3.3"
"Weston School District","900183430","2012-2013","Grade 12","Percent","Suspensions","3.3"
"Weston School District","900183430","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Weston School District","900183430","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Weston School District","900183430","2013-2014","Grade 2","Percent","Suspensions","-6666"
"Weston School District","900183430","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Weston School District","900183430","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Weston School District","900183430","2013-2014","Grade 5","Percent","Suspensions","-6666"
"Weston School District","900183430","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Weston School District","900183430","2013-2014","Grade 7","Percent","Suspensions","4.3"
"Weston School District","900183430","2013-2014","Grade 8","Percent","Suspensions","4.7"
"Weston School District","900183430","2013-2014","Grade 9","Percent","Suspensions","3.8"
"Weston School District","900183430","2013-2014","Grade 10","Percent","Suspensions","-6666"
"Weston School District","900183430","2013-2014","Grade 11","Percent","Suspensions","-9999"
"Weston School District","900183430","2013-2014","Grade 12","Percent","Suspensions","-9999"
"Weston School District","900183430","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 3","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 4","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 5","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 6","Percent","Suspensions","-9999"
"Weston School District","900183430","2014-2015","Grade 7","Percent","Suspensions","-6666"
"Weston School District","900183430","2014-2015","Grade 8","Percent","Suspensions","5.2"
"Weston School District","900183430","2014-2015","Grade 9","Percent","Suspensions","-9999"
"Weston School District","900183430","2014-2015","Grade 10","Percent","Suspensions","2.9"
"Weston School District","900183430","2014-2015","Grade 11","Percent","Suspensions","-9999"
"Weston School District","900183430","2014-2015","Grade 12","Percent","Suspensions","-9999"
"Weston School District","900183430","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Weston School District","900183430","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Weston School District","900183430","2015-2016","Grade 2","Percent","Suspensions","-6666"
"Weston School District","900183430","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Weston School District","900183430","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Weston School District","900183430","2015-2016","Grade 5","Percent","Suspensions","-6666"
"Weston School District","900183430","2015-2016","Grade 6","Percent","Suspensions","6.8"
"Weston School District","900183430","2015-2016","Grade 7","Percent","Suspensions","2.9"
"Weston School District","900183430","2015-2016","Grade 8","Percent","Suspensions","6.5"
"Weston School District","900183430","2015-2016","Grade 9","Percent","Suspensions","-9999"
"Weston School District","900183430","2015-2016","Grade 10","Percent","Suspensions","-9999"
"Weston School District","900183430","2015-2016","Grade 11","Percent","Suspensions","2.9"
"Weston School District","900183430","2015-2016","Grade 12","Percent","Suspensions","3.4"
"Weston School District","900183430","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Weston School District","900183430","2016-2017","Grade 1","Percent","Suspensions","-9999"
"Weston School District","900183430","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Weston School District","900183430","2016-2017","Grade 3","Percent","Suspensions","-6666"
"Weston School District","900183430","2016-2017","Grade 4","Percent","Suspensions","-6666"
"Weston School District","900183430","2016-2017","Grade 5","Percent","Suspensions","-6666"
"Weston School District","900183430","2016-2017","Grade 6","Percent","Suspensions","6.4"
"Weston School District","900183430","2016-2017","Grade 7","Percent","Suspensions","4.1"
"Weston School District","900183430","2016-2017","Grade 8","Percent","Suspensions","-9999"
"Weston School District","900183430","2016-2017","Grade 9","Percent","Suspensions","-9999"
"Weston School District","900183430","2016-2017","Grade 10","Percent","Suspensions","4.7"
"Weston School District","900183430","2016-2017","Grade 11","Percent","Suspensions","-9999"
"Weston School District","900183430","2016-2017","Grade 12","Percent","Suspensions","4.8"
"Westport School District","900183500","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Westport School District","900183500","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Westport School District","900183500","2009-2010","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2009-2010","Grade 4","Percent","Suspensions","-9999"
"Westport School District","900183500","2009-2010","Grade 5","Percent","Suspensions","2.1"
"Westport School District","900183500","2009-2010","Grade 6","Percent","Suspensions","-6666"
"Westport School District","900183500","2009-2010","Grade 7","Percent","Suspensions","2.7"
"Westport School District","900183500","2009-2010","Grade 8","Percent","Suspensions","-9999"
"Westport School District","900183500","2009-2010","Grade 9","Percent","Suspensions","4.1"
"Westport School District","900183500","2009-2010","Grade 10","Percent","Suspensions","3.7"
"Westport School District","900183500","2009-2010","Grade 11","Percent","Suspensions","4.8"
"Westport School District","900183500","2009-2010","Grade 12","Percent","Suspensions","8.0"
"Westport School District","900183500","2010-2011","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2010-2011","Grade 1","Percent","Suspensions","-9999"
"Westport School District","900183500","2010-2011","Grade 2","Percent","Suspensions","-9999"
"Westport School District","900183500","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Westport School District","900183500","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Westport School District","900183500","2010-2011","Grade 6","Percent","Suspensions","3.0"
"Westport School District","900183500","2010-2011","Grade 7","Percent","Suspensions","2.4"
"Westport School District","900183500","2010-2011","Grade 8","Percent","Suspensions","2.9"
"Westport School District","900183500","2010-2011","Grade 9","Percent","Suspensions","2.2"
"Westport School District","900183500","2010-2011","Grade 10","Percent","Suspensions","2.3"
"Westport School District","900183500","2010-2011","Grade 11","Percent","Suspensions","4.0"
"Westport School District","900183500","2010-2011","Grade 12","Percent","Suspensions","3.6"
"Westport School District","900183500","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Westport School District","900183500","2011-2012","Grade 1","Percent","Suspensions","-9999"
"Westport School District","900183500","2011-2012","Grade 2","Percent","Suspensions","1.9"
"Westport School District","900183500","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Westport School District","900183500","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Westport School District","900183500","2011-2012","Grade 6","Percent","Suspensions","1.5"
"Westport School District","900183500","2011-2012","Grade 7","Percent","Suspensions","1.8"
"Westport School District","900183500","2011-2012","Grade 8","Percent","Suspensions","2.4"
"Westport School District","900183500","2011-2012","Grade 9","Percent","Suspensions","-9999"
"Westport School District","900183500","2011-2012","Grade 10","Percent","Suspensions","2.4"
"Westport School District","900183500","2011-2012","Grade 11","Percent","Suspensions","3.4"
"Westport School District","900183500","2011-2012","Grade 12","Percent","Suspensions","2.8"
"Westport School District","900183500","2012-2013","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Westport School District","900183500","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 5","Percent","Suspensions","-6666"
"Westport School District","900183500","2012-2013","Grade 6","Percent","Suspensions","1.9"
"Westport School District","900183500","2012-2013","Grade 7","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 8","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 9","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 10","Percent","Suspensions","-9999"
"Westport School District","900183500","2012-2013","Grade 11","Percent","Suspensions","1.7"
"Westport School District","900183500","2012-2013","Grade 12","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Grade 4","Percent","Suspensions","1.6"
"Westport School District","900183500","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Grade 6","Percent","Suspensions","1.3"
"Westport School District","900183500","2013-2014","Grade 7","Percent","Suspensions","1.2"
"Westport School District","900183500","2013-2014","Grade 8","Percent","Suspensions","-9999"
"Westport School District","900183500","2013-2014","Grade 9","Percent","Suspensions","3.1"
"Westport School District","900183500","2013-2014","Grade 10","Percent","Suspensions","1.5"
"Westport School District","900183500","2013-2014","Grade 11","Percent","Suspensions","3.0"
"Westport School District","900183500","2013-2014","Grade 12","Percent","Suspensions","3.7"
"Westport School District","900183500","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Westport School District","900183500","2014-2015","Grade 2","Percent","Suspensions","-9999"
"Westport School District","900183500","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2014-2015","Grade 4","Percent","Suspensions","1.8"
"Westport School District","900183500","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Westport School District","900183500","2014-2015","Grade 6","Percent","Suspensions","1.5"
"Westport School District","900183500","2014-2015","Grade 7","Percent","Suspensions","2.5"
"Westport School District","900183500","2014-2015","Grade 8","Percent","Suspensions","2.0"
"Westport School District","900183500","2014-2015","Grade 9","Percent","Suspensions","2.1"
"Westport School District","900183500","2014-2015","Grade 10","Percent","Suspensions","3.9"
"Westport School District","900183500","2014-2015","Grade 11","Percent","Suspensions","3.3"
"Westport School District","900183500","2014-2015","Grade 12","Percent","Suspensions","2.5"
"Westport School District","900183500","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Westport School District","900183500","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Westport School District","900183500","2015-2016","Grade 3","Percent","Suspensions","-9999"
"Westport School District","900183500","2015-2016","Grade 4","Percent","Suspensions","2.3"
"Westport School District","900183500","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Westport School District","900183500","2015-2016","Grade 6","Percent","Suspensions","-9999"
"Westport School District","900183500","2015-2016","Grade 7","Percent","Suspensions","1.7"
"Westport School District","900183500","2015-2016","Grade 8","Percent","Suspensions","1.5"
"Westport School District","900183500","2015-2016","Grade 9","Percent","Suspensions","1.4"
"Westport School District","900183500","2015-2016","Grade 10","Percent","Suspensions","2.5"
"Westport School District","900183500","2015-2016","Grade 11","Percent","Suspensions","3.2"
"Westport School District","900183500","2015-2016","Grade 12","Percent","Suspensions","1.4"
"Westport School District","900183500","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Westport School District","900183500","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Westport School District","900183500","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Westport School District","900183500","2016-2017","Grade 3","Percent","Suspensions","-6666"
"Westport School District","900183500","2016-2017","Grade 4","Percent","Suspensions","1.9"
"Westport School District","900183500","2016-2017","Grade 5","Percent","Suspensions","2.8"
"Westport School District","900183500","2016-2017","Grade 6","Percent","Suspensions","-9999"
"Westport School District","900183500","2016-2017","Grade 7","Percent","Suspensions","1.6"
"Westport School District","900183500","2016-2017","Grade 8","Percent","Suspensions","-9999"
"Westport School District","900183500","2016-2017","Grade 9","Percent","Suspensions","4.5"
"Westport School District","900183500","2016-2017","Grade 10","Percent","Suspensions","1.8"
"Westport School District","900183500","2016-2017","Grade 11","Percent","Suspensions","3.4"
"Westport School District","900183500","2016-2017","Grade 12","Percent","Suspensions","2.5"
"Wethersfield School District","900384900","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2009-2010","Grade 2","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2009-2010","Grade 6","Percent","Suspensions","2.4"
"Wethersfield School District","900384900","2009-2010","Grade 7","Percent","Suspensions","9.0"
"Wethersfield School District","900384900","2009-2010","Grade 8","Percent","Suspensions","13.5"
"Wethersfield School District","900384900","2009-2010","Grade 9","Percent","Suspensions","8.5"
"Wethersfield School District","900384900","2009-2010","Grade 10","Percent","Suspensions","7.5"
"Wethersfield School District","900384900","2009-2010","Grade 11","Percent","Suspensions","4.3"
"Wethersfield School District","900384900","2009-2010","Grade 12","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2010-2011","Grade 1","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2010-2011","Grade 3","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2010-2011","Grade 4","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2010-2011","Grade 7","Percent","Suspensions","7.8"
"Wethersfield School District","900384900","2010-2011","Grade 8","Percent","Suspensions","10.1"
"Wethersfield School District","900384900","2010-2011","Grade 9","Percent","Suspensions","5.2"
"Wethersfield School District","900384900","2010-2011","Grade 10","Percent","Suspensions","7.5"
"Wethersfield School District","900384900","2010-2011","Grade 11","Percent","Suspensions","6.6"
"Wethersfield School District","900384900","2010-2011","Grade 12","Percent","Suspensions","6.3"
"Wethersfield School District","900384900","2011-2012","Kindergarten","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2011-2012","Grade 2","Percent","Suspensions","2.1"
"Wethersfield School District","900384900","2011-2012","Grade 3","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2011-2012","Grade 6","Percent","Suspensions","2.3"
"Wethersfield School District","900384900","2011-2012","Grade 7","Percent","Suspensions","4.2"
"Wethersfield School District","900384900","2011-2012","Grade 8","Percent","Suspensions","9.1"
"Wethersfield School District","900384900","2011-2012","Grade 9","Percent","Suspensions","7.7"
"Wethersfield School District","900384900","2011-2012","Grade 10","Percent","Suspensions","5.5"
"Wethersfield School District","900384900","2011-2012","Grade 11","Percent","Suspensions","9.4"
"Wethersfield School District","900384900","2011-2012","Grade 12","Percent","Suspensions","3.6"
"Wethersfield School District","900384900","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2012-2013","Grade 5","Percent","Suspensions","2.2"
"Wethersfield School District","900384900","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2012-2013","Grade 7","Percent","Suspensions","4.3"
"Wethersfield School District","900384900","2012-2013","Grade 8","Percent","Suspensions","6.0"
"Wethersfield School District","900384900","2012-2013","Grade 9","Percent","Suspensions","5.7"
"Wethersfield School District","900384900","2012-2013","Grade 10","Percent","Suspensions","10.2"
"Wethersfield School District","900384900","2012-2013","Grade 11","Percent","Suspensions","7.1"
"Wethersfield School District","900384900","2012-2013","Grade 12","Percent","Suspensions","6.4"
"Wethersfield School District","900384900","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2013-2014","Grade 3","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2013-2014","Grade 5","Percent","Suspensions","2.2"
"Wethersfield School District","900384900","2013-2014","Grade 6","Percent","Suspensions","4.3"
"Wethersfield School District","900384900","2013-2014","Grade 7","Percent","Suspensions","2.8"
"Wethersfield School District","900384900","2013-2014","Grade 8","Percent","Suspensions","7.2"
"Wethersfield School District","900384900","2013-2014","Grade 9","Percent","Suspensions","4.0"
"Wethersfield School District","900384900","2013-2014","Grade 10","Percent","Suspensions","5.3"
"Wethersfield School District","900384900","2013-2014","Grade 11","Percent","Suspensions","6.7"
"Wethersfield School District","900384900","2013-2014","Grade 12","Percent","Suspensions","3.3"
"Wethersfield School District","900384900","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2014-2015","Grade 2","Percent","Suspensions","4.0"
"Wethersfield School District","900384900","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2014-2015","Grade 4","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2014-2015","Grade 6","Percent","Suspensions","3.3"
"Wethersfield School District","900384900","2014-2015","Grade 7","Percent","Suspensions","5.0"
"Wethersfield School District","900384900","2014-2015","Grade 8","Percent","Suspensions","3.9"
"Wethersfield School District","900384900","2014-2015","Grade 9","Percent","Suspensions","6.2"
"Wethersfield School District","900384900","2014-2015","Grade 10","Percent","Suspensions","4.8"
"Wethersfield School District","900384900","2014-2015","Grade 11","Percent","Suspensions","5.2"
"Wethersfield School District","900384900","2014-2015","Grade 12","Percent","Suspensions","2.9"
"Wethersfield School District","900384900","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2015-2016","Grade 2","Percent","Suspensions","3.2"
"Wethersfield School District","900384900","2015-2016","Grade 3","Percent","Suspensions","3.6"
"Wethersfield School District","900384900","2015-2016","Grade 4","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2015-2016","Grade 6","Percent","Suspensions","2.4"
"Wethersfield School District","900384900","2015-2016","Grade 7","Percent","Suspensions","8.1"
"Wethersfield School District","900384900","2015-2016","Grade 8","Percent","Suspensions","10.7"
"Wethersfield School District","900384900","2015-2016","Grade 9","Percent","Suspensions","6.6"
"Wethersfield School District","900384900","2015-2016","Grade 10","Percent","Suspensions","5.4"
"Wethersfield School District","900384900","2015-2016","Grade 11","Percent","Suspensions","7.5"
"Wethersfield School District","900384900","2015-2016","Grade 12","Percent","Suspensions","5.7"
"Wethersfield School District","900384900","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Wethersfield School District","900384900","2016-2017","Grade 1","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2016-2017","Grade 2","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2016-2017","Grade 4","Percent","Suspensions","2.9"
"Wethersfield School District","900384900","2016-2017","Grade 5","Percent","Suspensions","3.7"
"Wethersfield School District","900384900","2016-2017","Grade 6","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2016-2017","Grade 7","Percent","Suspensions","8.7"
"Wethersfield School District","900384900","2016-2017","Grade 8","Percent","Suspensions","9.6"
"Wethersfield School District","900384900","2016-2017","Grade 9","Percent","Suspensions","4.8"
"Wethersfield School District","900384900","2016-2017","Grade 10","Percent","Suspensions","-9999"
"Wethersfield School District","900384900","2016-2017","Grade 11","Percent","Suspensions","6.2"
"Wethersfield School District","900384900","2016-2017","Grade 12","Percent","Suspensions","4.2"
"Willington School District","","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Willington School District","","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Willington School District","","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2009-2010","Grade 3","Percent","Suspensions","-9999"
"Willington School District","","2009-2010","Grade 4","Percent","Suspensions","-9999"
"Willington School District","","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2009-2010","Grade 6","Percent","Suspensions","14.5"
"Willington School District","","2009-2010","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2009-2010","Grade 8","Percent","Suspensions","12.2"
"Willington School District","","2009-2010","Grade 9","Percent","Suspensions","0"
"Willington School District","","2009-2010","Grade 10","Percent","Suspensions","0"
"Willington School District","","2009-2010","Grade 11","Percent","Suspensions","0"
"Willington School District","","2009-2010","Grade 12","Percent","Suspensions","0"
"Willington School District","","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Willington School District","","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Willington School District","","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Willington School District","","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Willington School District","","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Willington School District","","2010-2011","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2010-2011","Grade 8","Percent","Suspensions","-9999"
"Willington School District","","2010-2011","Grade 9","Percent","Suspensions","0"
"Willington School District","","2010-2011","Grade 10","Percent","Suspensions","0"
"Willington School District","","2010-2011","Grade 11","Percent","Suspensions","0"
"Willington School District","","2010-2011","Grade 12","Percent","Suspensions","0"
"Willington School District","","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Willington School District","","2011-2012","Grade 1","Percent","Suspensions","-9999"
"Willington School District","","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Willington School District","","2011-2012","Grade 4","Percent","Suspensions","-6666"
"Willington School District","","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2011-2012","Grade 6","Percent","Suspensions","-9999"
"Willington School District","","2011-2012","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2011-2012","Grade 8","Percent","Suspensions","-9999"
"Willington School District","","2011-2012","Grade 9","Percent","Suspensions","0"
"Willington School District","","2011-2012","Grade 10","Percent","Suspensions","0"
"Willington School District","","2011-2012","Grade 11","Percent","Suspensions","0"
"Willington School District","","2011-2012","Grade 12","Percent","Suspensions","0"
"Willington School District","","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Willington School District","","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Willington School District","","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Willington School District","","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Willington School District","","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Willington School District","","2012-2013","Grade 7","Percent","Suspensions","-6666"
"Willington School District","","2012-2013","Grade 8","Percent","Suspensions","-9999"
"Willington School District","","2012-2013","Grade 9","Percent","Suspensions","0"
"Willington School District","","2012-2013","Grade 10","Percent","Suspensions","0"
"Willington School District","","2012-2013","Grade 11","Percent","Suspensions","0"
"Willington School District","","2012-2013","Grade 12","Percent","Suspensions","0"
"Willington School District","","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Willington School District","","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Willington School District","","2013-2014","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Willington School District","","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Willington School District","","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Willington School District","","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2013-2014","Grade 8","Percent","Suspensions","16.4"
"Willington School District","","2013-2014","Grade 9","Percent","Suspensions","0"
"Willington School District","","2013-2014","Grade 10","Percent","Suspensions","0"
"Willington School District","","2013-2014","Grade 11","Percent","Suspensions","0"
"Willington School District","","2013-2014","Grade 12","Percent","Suspensions","0"
"Willington School District","","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Willington School District","","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Willington School District","","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2014-2015","Grade 3","Percent","Suspensions","-6666"
"Willington School District","","2014-2015","Grade 4","Percent","Suspensions","-9999"
"Willington School District","","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2014-2015","Grade 6","Percent","Suspensions","-9999"
"Willington School District","","2014-2015","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2014-2015","Grade 8","Percent","Suspensions","-9999"
"Willington School District","","2014-2015","Grade 9","Percent","Suspensions","0"
"Willington School District","","2014-2015","Grade 10","Percent","Suspensions","0"
"Willington School District","","2014-2015","Grade 11","Percent","Suspensions","0"
"Willington School District","","2014-2015","Grade 12","Percent","Suspensions","0"
"Willington School District","","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Willington School District","","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Willington School District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Willington School District","","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Willington School District","","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Willington School District","","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2015-2016","Grade 6","Percent","Suspensions","-6666"
"Willington School District","","2015-2016","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2015-2016","Grade 8","Percent","Suspensions","-9999"
"Willington School District","","2015-2016","Grade 9","Percent","Suspensions","0"
"Willington School District","","2015-2016","Grade 10","Percent","Suspensions","0"
"Willington School District","","2015-2016","Grade 11","Percent","Suspensions","0"
"Willington School District","","2015-2016","Grade 12","Percent","Suspensions","0"
"Willington School District","","2016-2017","Kindergarten","Percent","Suspensions","-6666"
